"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"ßC"	"%RH"	"hPa"	""	""	""	""	""
"2014/07/11 16:43'25"	"41831.6968171296"	"  22.9000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:43'45"	"41831.6970486111"	"  22.9000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:44'05"	"41831.6972800926"	"  22.9000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
"2014/07/11 16:44'25"	"41831.6975115741"	"  22.9000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:44'45"	"41831.6977430556"	"  22.9000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:45'05"	"41831.6979745370"	"  22.9000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:45'25"	"41831.6982060185"	"  22.9000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:45'45"	"41831.6984375000"	"  22.9000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:46'05"	"41831.6986689815"	"  22.9000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:46'25"	"41831.6989004630"	"  22.9000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:46'45"	"41831.6991319444"	"  22.9000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
"2014/07/11 16:47'05"	"41831.6993634259"	"  22.9000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:47'25"	"41831.6995949074"	"  22.9000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:47'45"	"41831.6998263889"	"  22.9000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:48'05"	"41831.7000578704"	"  22.9000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:48'25"	"41831.7002893519"	"  22.9000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:48'45"	"41831.7005208333"	"  22.9000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:49'05"	"41831.7007523148"	"  22.9000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:49'25"	"41831.7009837963"	"  22.9000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:49'45"	"41831.7012152778"	"  22.9000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:50'05"	"41831.7014467593"	"  22.9000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:50'25"	"41831.7016782407"	"  22.9000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:50'45"	"41831.7019097222"	"  22.9000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
"2014/07/11 16:51'05"	"41831.7021412037"	"  22.9000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:51'25"	"41831.7023726852"	"  22.9000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
"2014/07/11 16:51'45"	"41831.7026041667"	"  22.9000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
"2014/07/11 16:52'05"	"41831.7028356481"	"  22.9000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:52'25"	"41831.7030671296"	"  22.8000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:52'45"	"41831.7032986111"	"  22.8000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:53'05"	"41831.7035300926"	"  22.9000"	"  53.0000"	"  983.9000"	""	""	""	""	""	
"2014/07/11 16:53'25"	"41831.7037615741"	"  22.9000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
"2014/07/11 16:53'45"	"41831.7039930556"	"  22.9000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
"2014/07/11 16:54'05"	"41831.7042245370"	"  22.9000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
"2014/07/11 16:54'25"	"41831.7044560185"	"  22.9000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
"2014/07/11 16:54'45"	"41831.7046875000"	"  22.9000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
"2014/07/11 16:55'05"	"41831.7049189815"	"  22.9000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 16:55'25"	"41831.7051504630"	"  22.9000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
"2014/07/11 16:55'45"	"41831.7053819444"	"  22.9000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
"2014/07/11 16:56'05"	"41831.7056134259"	"  22.9000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
"2014/07/11 16:56'25"	"41831.7058449074"	"  22.9000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 16:56'45"	"41831.7060763889"	"  22.9000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 16:57'05"	"41831.7063078704"	"  22.9000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 16:57'25"	"41831.7065393519"	"  22.9000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 16:57'45"	"41831.7067708333"	"  22.9000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
"2014/07/11 16:58'05"	"41831.7070023148"	"  22.9000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 16:58'25"	"41831.7072337963"	"  22.9000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
"2014/07/11 16:58'45"	"41831.7074652778"	"  22.9000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
"2014/07/11 16:59'05"	"41831.7076967593"	"  22.9000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
"2014/07/11 16:59'25"	"41831.7079282407"	"  22.9000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
"2014/07/11 16:59'45"	"41831.7081597222"	"  22.9000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
"2014/07/11 17:00'05"	"41831.7083912037"	"  22.9000"	"  53.0000"	"  984.0000"	""	""	""	""	""	
"2014/07/11 17:00'25"	"41831.7086226852"	"  22.9000"	"  53.0000"	"  984.1000"	""	""	""	""	""	
